# Vybe swap demo — token catalog from Jupiter datapi (Top list)
# Source: https://datapi.jup.ag/v1/assets/search?query=&limit=100
# Denylist: public/data/token-catalog-excluded.json (0 mints)
# Icons: /data/token-icons/ (run npm run download:token-icons to refresh)
# Columns: mint	symbol	name	logoUrl	decimals	tags
# Regenerate: npm run fetch:catalog
# Filter routes: npm run filter:catalog
mint	symbol	name	logoUrl	decimals	tags
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm	$WIF	dogwifhat	/data/token-icons/EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm.jpg	6	
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS	KMNO	Kamino	/data/token-icons/KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS.svg	6	
B6f27ETGcjgGNB1fqULJbXVmw9FnL8HgBp7R83hmpump	drooling	Drooling cat	/data/token-icons/B6f27ETGcjgGNB1fqULJbXVmw9FnL8HgBp7R83hmpump.png	6	Token2022
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr	POPCAT	Popcat	/data/token-icons/7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr.png	9	
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump	Buttcoin	Buttcoin	/data/token-icons/Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump.jpg	6	Token2022
TSPXcLV76s6V2zDiZQ18kBfcbnjaE2ZzNT3ga2Pd99v	tSpaceX	T-SpaceX	/data/token-icons/TSPXcLV76s6V2zDiZQ18kBfcbnjaE2ZzNT3ga2Pd99v.svg	9	Token2022
BCdwQBAn8dYB5YjTsoB6TdHAWokxv28k2oZUodERpump	MANIFEST	Manifesting	/data/token-icons/BCdwQBAn8dYB5YjTsoB6TdHAWokxv28k2oZUodERpump.png	6	Token2022
FDEF2U9geiWS7sdGPCUo2r1wGswkJr2mmVTECiH6pump	MITCH	idrawline	/data/token-icons/FDEF2U9geiWS7sdGPCUo2r1wGswkJr2mmVTECiH6pump.jpg	6	
J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr	SPX	SPX6900 (Wormhole)	/data/token-icons/J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr.png	8	
AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj	syrupUSDC	Syrup USDC	/data/token-icons/AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj.svg	6	
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263	Bonk	Bonk	/data/token-icons/DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263.jpg	5	
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn	ZEREBRO	zerebro	/data/token-icons/8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn.png	6	
TKLSidmLVt3cqGaaodG8tyRzoANfQwoh67AccjmubeZ	tKalshi	T-Kalshi	/data/token-icons/TKLSidmLVt3cqGaaodG8tyRzoANfQwoh67AccjmubeZ.svg	9	Token2022
2kcdBw85q4qMVCjUkEynTnZ3bGbBeCqZRDRNLpeWpump	traindog	traindog	/data/token-icons/2kcdBw85q4qMVCjUkEynTnZ3bGbBeCqZRDRNLpeWpump.png	6	Token2022
FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump	three	three.ws	/data/token-icons/FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump.jpg	6	Token2022
9fvHrYNw1A8Evpcj7X2yy4k4fT7nNHcA9L6UsamNHAif	jlUSDG	jupiter lend USDG	/data/token-icons/9fvHrYNw1A8Evpcj7X2yy4k4fT7nNHcA9L6UsamNHAif.png	6	Token2022
Cmn4v2wipYV41dkakDvCgFJpxhtaaKt11NyWV8pjSE8A	jlUSDT	jupiter lend USDT	/data/token-icons/Cmn4v2wipYV41dkakDvCgFJpxhtaaKt11NyWV8pjSE8A.png	6	
CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump	BURNIE	Burnie Senders	/data/token-icons/CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump.jpg	6	Token2022
F5hqdbykXuksp8P78CAZenSvpPShAYKrP2U2MiZMdgFN	bop	bop cat	/data/token-icons/F5hqdbykXuksp8P78CAZenSvpPShAYKrP2U2MiZMdgFN.gif	6	
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump	arc	AI Rig Complex	/data/token-icons/61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump.png	6	
AymATz4TCL9sWNEEV9Kvyz45CHVhDZ6kUgjTJPzLpU9P	XAUt0	Tether Gold	/data/token-icons/AymATz4TCL9sWNEEV9Kvyz45CHVhDZ6kUgjTJPzLpU9P.png	6	
5GgRAEmv8ZxF2PR5hY72Qs5x1bnQ6UK2RbTPoqJ3wSwW	PAXG	PAX Gold	/data/token-icons/5GgRAEmv8ZxF2PR5hY72Qs5x1bnQ6UK2RbTPoqJ3wSwW.png	6	Token2022
rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof	RENDER	Render Token	https://shdw-drive.genesysgo.net/5zseP54TGrcz9C8HdjZwJJsZ6f3VbP11p1abwKWGykZH/rndr.png	8	
oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp	ORE	ORE	/data/token-icons/oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp.png	11	
Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu	COINx	Coinbase xStock	/data/token-icons/Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu.png	8	Token2022
82XVWa4pEfPhZfN3a7ANHSy9iPekmMwm934ZUpkFMUSA	FREE	Freedom	/data/token-icons/82XVWa4pEfPhZfN3a7ANHSy9iPekmMwm934ZUpkFMUSA.jpg	6	Token2022
ARXwZkNAtzPfdcoqQiduJn8EPv9fKiDfGn2KyggyDrFs	ARX	Arcium	/data/token-icons/ARXwZkNAtzPfdcoqQiduJn8EPv9fKiDfGn2KyggyDrFs.png	9	
HRJLkc6vDysVHdrUpCsQ5EBx6fPM15TZRKAhfUBnpump	WIF2	WIF2	/data/token-icons/HRJLkc6vDysVHdrUpCsQ5EBx6fPM15TZRKAhfUBnpump.png	6	Token2022
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump	neet	NotInEmploymentEducationTraining	/data/token-icons/Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump.jpg	6	
